day,hour,storage,price,daily_avg,weekly_avg,action,reward
1.0,1.0,0.0,13.2,30.1,30.1,buy,2.76
1.0,2.0,10.0,13.14,24.44666666666667,24.44666666666667,buy,2.66
1.0,3.0,20.0,11.83,21.2925,21.2925,buy,2.64
1.0,4.0,30.0,9.49,18.932,18.932,buy,2.7
1.0,5.0,40.0,8.63,17.215,17.215,buy,2.7
1.0,6.0,50.0,7.12,15.772857142857143,15.772857142857143,buy,2.75
1.0,7.0,60.0,4.06,14.30875,14.30875,buy,2.92
1.0,8.0,70.0,1.0,14.30875,14.30875,buy,3.13
1.0,9.0,80.0,8.4,13.652222222222223,13.652222222222223,buy,2.38
1.0,10.0,90.0,9.11,13.198000000000002,13.198000000000002,buy,2.31
1.0,11.0,100.0,10.18,12.923636363636366,12.923636363636366,buy,0.21
1.0,12.0,110.0,13.56,12.976666666666668,12.976666666666668,hold,0.0
1.0,13.0,110.0,18.02,13.364615384615387,13.364615384615387,hold,0.0
1.0,14.0,110.0,15.02,13.482857142857146,13.482857142857146,hold,0.0
1.0,15.0,110.0,12.58,13.42266666666667,13.42266666666667,buy,0.06
1.0,16.0,120.0,10.18,13.219999999999999,13.219999999999999,hold,0.0
1.0,17.0,120.0,9.81,13.01941176470588,13.01941176470588,sell,-0.5
1.0,18.0,110.0,18.79,13.339999999999998,13.339999999999998,hold,0.0
1.0,19.0,110.0,22.7,13.832631578947368,13.832631578947368,hold,0.0
1.0,20.0,110.0,30.06,13.832631578947368,13.832631578947368,buy,-1.0
1.0,21.0,120.0,27.3,14.506,14.506,sell,5.25
1.0,22.0,110.0,23.93,14.954761904761906,14.954761904761906,hold,0.0
1.0,23.0,110.0,33.49,14.954761904761906,14.954761904761906,buy,-1.0
1.0,24.0,120.0,31.06,14.954761904761906,14.954761904761906,hold,0.0
2.0,1.0,0.0,23.0,15.320454545454545,15.320454545454545,hold,0.0
2.0,2.0,0.0,17.45,15.41304347826087,15.41304347826087,buy,0.07
2.0,3.0,10.0,19.12,15.5675,15.5675,hold,0.0
2.0,4.0,10.0,12.76,14.140833333333333,15.4552,buy,0.31
